# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.101:9103,10.140.0.107:9103,85965
10.140.0.124:9103,10.140.0.106:9103,85971
10.140.0.125:9103,10.140.0.121:9103,86026
10.140.0.122:9103,10.140.0.121:9103,86053
10.140.0.126:9103,10.140.0.105:9103,86085
10.140.0.123:9103,10.140.0.103:9103,86113
10.140.0.108:9103,10.140.0.109:9103,86145
10.140.0.127:9103,10.140.0.113:9103,86164
10.140.0.121:9103,10.140.0.122:9103,86168
10.140.0.127:9103,10.140.0.105:9103,86187
10.140.0.122:9103,10.140.0.124:9103,86192
10.140.0.104:9103,10.140.0.108:9103,86230
10.140.0.105:9103,10.140.0.122:9103,86248
10.140.0.101:9103,10.140.0.130:9103,86276
10.140.0.129:9103,10.140.0.123:9103,86346
10.140.0.129:9103,10.140.0.128:9103,86362
10.140.0.101:9103,10.140.0.105:9103,86382
10.140.0.105:9103,10.140.0.102:9103,86394
10.140.0.129:9103,10.140.0.109:9103,86644
10.140.0.125:9103,10.140.0.101:9103,86645
10.140.0.123:9103,10.140.0.125:9103,86698
10.140.0.126:9103,10.140.0.124:9103,86709
10.140.0.106:9103,10.140.0.124:9103,86803
10.140.0.105:9103,10.140.0.124:9103,86816
10.140.0.130:9103,10.140.0.126:9103,86844
10.140.0.121:9103,10.140.0.109:9103,86898
10.140.0.103:9103,10.140.0.106:9103,86920
10.140.0.129:9103,10.140.0.125:9103,86982
10.140.0.127:9103,10.140.0.109:9103,87018
10.140.0.107:9103,10.140.0.121:9103,87100
10.140.0.107:9103,10.140.0.103:9103,87156
10.140.0.106:9103,10.140.0.128:9103,87169
10.140.0.101:9103,10.140.0.109:9103,87186
10.140.0.108:9103,10.140.0.124:9103,87267
10.140.0.116:9103,10.140.0.129:9103,87270
10.140.0.104:9103,10.140.0.122:9103,87442
10.140.0.130:9103,10.140.0.109:9103,87444
10.140.0.109:9103,10.140.0.127:9103,87562
10.140.0.126:9103,10.140.0.103:9103,87583
10.140.0.121:9103,10.140.0.104:9103,87616
10.140.0.105:9103,10.140.0.111:9103,87705
10.140.0.102:9103,10.140.0.130:9103,87734
10.140.0.104:9103,10.140.0.103:9103,87751
10.140.0.106:9103,10.140.0.117:9103,87757
10.140.0.127:9103,10.140.0.103:9103,87764
10.140.0.108:9103,10.140.0.112:9103,87837
10.140.0.108:9103,10.140.0.130:9103,87923
10.140.0.107:9103,10.140.0.127:9103,87998
10.140.0.128:9103,10.140.0.102:9103,88096
10.140.0.109:9103,10.140.0.104:9103,88227
10.140.0.123:9103,10.140.0.129:9103,88341
10.140.0.109:9103,10.140.0.108:9103,88345
10.140.0.128:9103,10.140.0.129:9103,88352
10.140.0.124:9103,10.140.0.109:9103,88410
10.140.0.104:9103,10.140.0.130:9103,88432
10.140.0.104:9103,10.140.0.109:9103,88450
10.140.0.102:9103,10.140.0.104:9103,88532
10.140.0.130:9103,10.140.0.123:9103,88580
10.140.0.121:9103,10.140.0.107:9103,88745
10.140.0.123:9103,10.140.0.122:9103,88890
10.140.0.109:9103,10.140.0.121:9103,88958
10.140.0.125:9103,10.140.0.122:9103,88982
10.140.0.106:9103,10.140.0.130:9103,89028
10.140.0.122:9103,10.140.0.128:9103,89143
